D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
289734|2025|ford|mustang-e|car|black|2387493|32905.00
298345|2024|chevrolet|silverado|truck|white|125000|38999.99
273849|2023|toyota|rav4|suv|blue|45230|28950.75
265498|2022|honda|civic|car|red|38900|21495.00
267845|2020|nissan|altima|car|silver|98300|17420.00
299123|2024|ford|f-150|truck|blue|44210|41000.00
374829|2023|audi|q5|suv|white|34000|45500.00
592103|2024|ford|f-150|truck|blue|21500|38999.99
938274|2025|chevrolet|equinox|suv|black|6700|31200.00
627183|2021|honda|pilot|suv|silver|71200|27800.00
710395|2023|nissan|rogue|suv|red|28500|25990.00
430982|2022|subaru|forester|suv|blue|38800|28900.00
519304|2023|kia|sorento|suv|white|14300|27450.00
690248|2024|hyundai|santa-fe|suv|black|9700|28120.00
